,index,reviewId,content,score,reviewCreatedVersion,at,Positive,Negative,Neutral,result
2100,2100,d46012fd-42ff-4ee7-82dc-065ff3d2bedc,"Among all delivery applications, they have the best service. mistakes could happen in any order, they directly compensate and return back the money",5,8.0.81,7/18/2022 22:24,0.152,0.09,0.758,Positive
2103,2103,2b27ad23-1205-4c5e-9e63-f99fa98c1f61,"Bad customer support, high prices. They don't respect their customers.",2,8.0.80,7/18/2022 1:34,0.171,0.384,0.444,Negative
2104,2104,5197c02b-b5da-47c3-a416-aaa1397da725,excellent,5,8.0.80,7/17/2022 16:49,1.0,0.0,0.0,Positive
2105,2105,92c190bb-8d97-43c8-b633-b90e6db6bf4e,Excellent app,5,8.0.52,7/17/2022 16:37,0.787,0.0,0.213,Positive
2106,2106,96462853-baf7-41ca-91e0-08b7fb8df5dd,Best App,5,8.0.81,7/17/2022 3:29,0.808,0.0,0.192,Positive
2107,2107,84045b7d-ef46-4e77-b835-f0f3b82f4670,The map is lagging and i cant track my order,3,8.0.81,7/16/2022 21:13,0.0,0.208,0.792,Negative
2108,2108,5ffea267-8855-48e4-bd12-78bcb467731e,"very bad. he took 44% additional on the original price of restaurant, excluding the delivery fee.",1,8.0.81,7/16/2022 17:16,0.114,0.189,0.697,Negative
2109,2109,f0fc2714-f6e1-4c6d-beb3-72e23d900d13,Good,3,8.0.81,7/16/2022 14:19,1.0,0.0,0.0,Positive
2110,2110,2a24655e-204a-4709-ac1b-49b0b14247b7,"Worsed service i order totally different thing and what i received is totally different talk to there help support agent and he denied and said that was my order i am not ordering it first time from hungerstation there is a bug in your app need to be fixed ,never ever i will order again from them and requested you all to fonot waste you money as well.",1,8.0.81,7/16/2022 12:19,0.105,0.08,0.815,Positive
2112,2112,4ea117f2-9415-43f2-8e92-7c549d7da9aa,Almost overpriced everything,1,,7/16/2022 0:11,0.0,0.0,1.0,Neutral
2114,2114,400c28c5-bffd-4f80-9006-530a012d0099,Orders take too long and the app failed to provide proper customer support. I just have to wait without knowing where is my order!!!!!!!!!!,1,8.0.81,7/15/2022 21:45,0.096,0.159,0.746,Negative
2115,2115,d563fd21-dcaf-48cf-a4e5-84318cef3f15,It was working well until recently the app is not working it says 'Connection Failed',3,8.0.81,7/15/2022 15:12,0.114,0.179,0.707,Negative
2116,2116,b643d335-8ff1-4e8f-b932-860a490c7eb4,Very good and best super fast delivery,5,8.0.81,7/15/2022 14:34,0.743,0.0,0.257,Positive
2118,2118,93921503-ce23-43fd-93a5-101921dd8cad,Nic,5,8.0.81,7/14/2022 20:53,0.0,0.0,1.0,Neutral
2120,2120,27e218f9-a421-4f7f-a166-4e7b6474981e,Very Good App,5,8.0.71,7/14/2022 18:01,0.615,0.0,0.385,Positive
2123,2123,544c9cf2-a41f-4b8a-9bb1-32a17c54183f,"Delivery charges is too high,not recommended",1,8.0.81,7/13/2022 22:02,0.228,0.266,0.506,Negative
2125,2125,7fd5cecb-6693-4b6e-87f5-3b69d1929255,many times i buy in this app.. its good because i can't come out.,5,,7/13/2022 20:04,0.209,0.0,0.791,Positive
2126,2126,446458bf-d8f4-4f17-b37d-a107aa47a8e3,Nice app,5,,7/13/2022 19:14,0.737,0.0,0.263,Positive
2127,2127,ed5e3d4a-2cca-40f4-b02a-d6c6e041f62f,Bad experience more than bad When contacting with chat agent they are unexpert at all Prices more than restaurants price In all items,1,8.0.80,7/13/2022 18:17,0.0,0.257,0.743,Negative
2130,2130,9b0fd5a1-041a-485f-8095-d7d157233271,good ser,5,8.0.81,7/13/2022 14:56,0.744,0.0,0.256,Positive
2131,2131,fdd207c4-5e76-4b80-87db-5c28b0325613,Bad waste of time,1,8.0.81,7/13/2022 5:55,0.0,0.759,0.241,Negative
2132,2132,d91f04bd-4ee1-45db-b7e3-0c051b491792,Good,3,8.0.81,7/13/2022 0:55,1.0,0.0,0.0,Positive
2134,2134,75fcfb6d-ecfb-4061-b808-8164ff72cbd2,fast delivery,5,8.0.80,7/12/2022 18:55,0.0,0.0,1.0,Neutral
2139,2139,e5116397-a941-40f0-83a2-28bcb0b4fe40,"Great app for delivering food. If a mistake is made from the restaurant, Hungerstation will accept responsibility and give your money back instantly.",5,8.0.81,7/11/2022 22:15,0.238,0.085,0.676,Positive
2140,2140,ecba720c-ab12-4175-9515-ef013c5456e3,This app crash and poor service,1,8.0.81,7/11/2022 21:25,0.0,0.592,0.408,Negative
2141,2141,156da7f4-6a5d-4e12-8f36-5c88b73f13fd,This past week i had couple of problems that made it very clear that the app is currently the worst delivery app available.,1,8.0.80,7/11/2022 20:42,0.101,0.237,0.662,Negative
2143,2143,b24adfbf-ba86-40ca-9f17-dc99c810594c,Buggy I,2,8.0.80,7/11/2022 14:18,0.0,0.0,1.0,Neutral
2146,2146,10e7cdee-efb9-4bf2-a92b-8f8e63f15887,This app has become even more frustrating. Whenever I want to access the help and support services it shows blank and I'm unable to choose what's is wrong with my order. Very dissappointed with the app these days.,1,8.0.81,7/11/2022 3:37,0.154,0.139,0.707,Positive
2148,2148,0bf347ac-8267-4be1-896a-1b922616fbca,Good,5,8.0.61,7/10/2022 21:49,1.0,0.0,0.0,Positive
2150,2150,d80e0b23-00b8-4104-b6ed-5e42b196a69b,Great,5,8.0.80,7/10/2022 15:06,1.0,0.0,0.0,Positive
2152,2152,f3e69769-1d31-4452-aa90-d9164c34fa20,Baddddd,1,8.0.80,7/9/2022 22:24,0.0,0.0,1.0,Neutral
2160,2160,149c8571-104b-44d0-b2e3-057292bad3d7,5 stars,5,8.0.80,7/7/2022 20:20,0.0,0.0,1.0,Neutral
2162,2162,c3166cbc-8edd-4f1e-b798-87e35715bdd2,They don't even deserve a star they deserve a half star or less got my location wrong and said it was a long way and he couldn't come,1,8.0.80,7/7/2022 0:04,0.0,0.114,0.886,Negative
2165,2165,5a556125-17ba-4b1a-9a27-a0fc93e1733a,Tg,1,8.0.75,7/6/2022 9:09,0.0,0.0,1.0,Neutral
2167,2167,a5dd9e71-651a-4ce0-8c09-8e28523358c4,Price rate of items are expensive in the app. Better to buy directly from restaurants.,3,8.0.80,7/5/2022 17:45,0.172,0.0,0.828,Positive
2169,2169,b723b660-6d73-4c93-a5df-59220d70e4d2,good,5,8.0.80,7/5/2022 12:54,1.0,0.0,0.0,Positive
2171,2171,90d3e8f1-ea81-4686-b4a1-30f3500aa226,Very good App,5,8.0.80,7/4/2022 19:52,0.615,0.0,0.385,Positive
2172,2172,75eb56fe-8b24-45c7-85ac-9ba36bad694c,good,5,8.0.80,7/4/2022 19:47,1.0,0.0,0.0,Positive
2173,2173,10de44af-d238-4eb8-8f7e-64c78fbbb35a,This app is good and not a cheater u can order anything,5,8.0.80,7/4/2022 17:44,0.418,0.0,0.582,Positive
2179,2179,d4a026e8-b25b-4d21-9120-7cbdaa254b43,Very Useful and Quick Delivery,4,8.0.78,7/3/2022 13:51,0.444,0.0,0.556,Positive
2180,2180,e22f14c9-9e23-4925-aec4-7c6be9c0b1cd,Good restaurant,5,8.0.80,7/3/2022 13:23,0.744,0.0,0.256,Positive
2181,2181,6cf500dd-6941-4f99-8107-1c92f712e249,"The cost of the food not as the original price in the restaurant, but its good to use the application sometimes to save time",3,8.0.80,7/3/2022 1:30,0.266,0.048,0.686,Positive
2184,2184,b32ae52d-1d8e-43c6-9e0c-3ab3b5c37d96,It is perfect. too much variety recommend lowering the delivery cost,5,8.0.80,7/2/2022 17:54,0.383,0.123,0.494,Positive
2185,2185,f89385c2-fc19-4707-a3bd-7cb18c3206ae,"They're cheaters and don't care about their customers. In spite of the fact that my order was not delivered, the driver closed the order as if it had been delivered. This is completely unacceptable.",1,8.0.80,7/2/2022 12:29,0.0,0.289,0.711,Negative
2186,2186,4f0311d8-8e58-4a64-b016-14cfba0fccd5,Very poor.. They said first 10 order free delivery. But they charged. Fake offers.. Not recommended. I will never use this app again and I will inform the same to friends.,1,8.0.80,7/1/2022 21:42,0.163,0.214,0.623,Negative
2187,2187,fba9ab49-1724-47bd-88e8-ea84a6bde660,good delivery time,5,8.0.80,7/1/2022 20:48,0.592,0.0,0.408,Positive
2188,2188,ee59c2ad-9c07-4a91-8c09-a02738825a83,there is no valid reason of cancellation,1,8.0.78,7/1/2022 20:17,0.0,0.268,0.732,Negative
2191,2191,254b781f-8521-4191-a959-bd9d7341f292,fastest delivery,5,8.0.78,7/1/2022 17:32,0.0,0.0,1.0,Neutral
2192,2192,7eb737de-b053-44d8-bc74-0e24b673cc69,I've been waiting on my for over an hour and the system just keeps pushing the time out by 5 minutes every time I check status.,1,8.0.80,7/1/2022 16:02,0.0,0.0,1.0,Neutral
2194,2194,66f7cccd-4744-4975-92c0-70c9c5006ef3,Excellent,1,,7/1/2022 10:48,1.0,0.0,0.0,Positive
2197,2197,e74e153d-1d68-46f1-8b7c-92be7b11cd51,Very easy to use.,5,8.0.79,6/30/2022 20:26,0.516,0.0,0.484,Positive
2199,2199,55809087-3848-49c8-9b6b-69005887f4c8,Good services,5,8.0.80,6/30/2022 15:48,0.744,0.0,0.256,Positive
2201,2201,c25a2b75-1b44-4462-bd5e-55bf3fb9e0db,17655c,4,,6/30/2022 13:57,0.0,0.0,1.0,Neutral
2210,2210,23ae7a56-8a65-42ef-93c9-664791dbc0f3,Bad application,1,8.0.78,6/29/2022 11:48,0.0,0.778,0.222,Negative
2212,2212,4dc27d8c-9bd4-4836-a7bd-5ea3faa89862,"This app is not working at all for how many days already. My account suddenly logged out, and i cannot log in anymore.",1,8.0.78,6/29/2022 0:24,0.0,0.0,1.0,Neutral
2214,2214,1bf7ce02-fe56-4c15-83d8-2b159d473c81,"I've had some bad customer support experiences like cancelled orders after an hour and management not calling me despite support claiming they will. Also, I cant send a ""missing item request"" like it straight up doesnt let me do it and I have the app up to date. With the amount of funding HS gets this is embarrassing. Also do more quality checks, put more info in dishes and watch out for typos. You know, have standards..",3,8.0.78,6/28/2022 11:05,0.163,0.093,0.745,Positive
2216,2216,ea5887b5-5056-4627-bed5-62ca28744e93,Its a good application,5,8.0.78,6/28/2022 4:58,0.592,0.0,0.408,Positive
2218,2218,072a55da-ddaa-4485-af70-e83454ae8c82,it keeps making me put my location ever time I open the app foursome reason,4,8.0.78,6/27/2022 21:35,0.0,0.0,1.0,Neutral
2219,2219,c237e2dc-72a2-4566-a26d-31176aba739e,Good,5,8.0.73,6/27/2022 17:47,1.0,0.0,0.0,Positive
2220,2220,939381f0-0612-442e-8ca4-3529057d3868,the food more expensive than the restaurant + high delivery cost,1,6.0.2,6/27/2022 16:57,0.0,0.0,1.0,Neutral
2221,2221,fd9a0762-f961-4057-8bfa-a44c3c84017b,"Horrible terrible experience. Slow, no responding mostly. Poor options",1,8.0.78,6/27/2022 13:28,0.0,0.704,0.296,Negative
2222,2222,87dac84b-fd62-43f4-a89a-df1b682012b1,Really horrible couldnt get past registration because the sms code didnt come and i dnt understand arabic numbers via the phone call. Also they give u 20 seconds to enter it so u dnt hv time to think. Horrible,1,8.0.78,6/27/2022 12:39,0.0,0.177,0.823,Negative
2223,2223,7c360466-9c1d-46df-bcc2-1a29b8e4b6a4,Help fully,5,8.0.77,6/27/2022 11:33,0.73,0.0,0.27,Positive
2224,2224,3a82656e-45cc-4e50-b908-d9b23852b33c,"Multiple times when they did not deliver they did not refund( edit: I did reach out to your so called ""support centre"" and sent multiple emails and nothing happened)",1,8.0.4,6/27/2022 5:04,0.136,0.0,0.864,Positive
2225,2225,b7b37a3e-582c-4318-bfed-f6cf3eda9a6e,very good service,5,8.0.75,6/27/2022 2:28,0.615,0.0,0.385,Positive
2227,2227,7251f208-2a92-45b2-a696-8b78afb186e4,"Worst app for ""android users"" I can't change my payment method after placing my order.",1,8.0.69,6/26/2022 14:30,0.0,0.24,0.76,Negative
2228,2228,86bf29fc-a2f9-426b-bd7c-e26893ae5cb3,"This app charged 2 to 3 Riyal more than actual restaurant menu price, which is unfair and amount to cheating. The price arenot restaurant prices but the app increases by itself on every item. Uninstalled.",1,8.0.78,6/26/2022 14:13,0.0,0.161,0.839,Negative
2231,2231,0f7659be-2cd0-46b2-b233-d9500c738f28,"Takes A while to boot up , Unable to login , specifically unable to choose a country for the phone number, As for Confirming the location it fails each time, laggy as hell ,can't even start using it, really? You better fix it soon",2,8.0.78,6/25/2022 22:36,0.094,0.155,0.752,Negative
2232,2232,7abb3208-22c0-4f76-87c8-df91226f5dbe,"User Interface is one of the worst in any delivery app ever! Lagging most of the time. The option of talking to an agent to solve a problem regarding my ""non-working"" vouchers is impossible to use, as I can't even type using the keyboard at all! And it takes forever to connect to an agent. I had multiple deliveries get my order completely wrong, and a couple of times I ordered using my credit card which the money was withdrawn but without my order being delivered at all and had to cancel it.",1,8.0.78,6/25/2022 20:19,0.034,0.118,0.849,Negative
2238,2238,1b8ff5be-2204-4b65-85c6-42d462e19689,The worst app ever. They increas meals price also fake ads about free delivery,1,,6/25/2022 0:25,0.153,0.335,0.512,Negative
2239,2239,c323f1fe-dd3c-43ad-b295-5efe9a239ee5,good,5,8.0.78,6/24/2022 20:22,1.0,0.0,0.0,Positive
2240,2240,38ba7e46-a03b-48dd-bfe1-20492f3c51f3,I paid for an order and I didn't receive it and when I talked to the delivery person he said talk to the company and I did but they didn't respond. How can I get my money back?,1,,6/24/2022 19:11,0.0,0.0,1.0,Neutral
2241,2241,a48f28c5-8f65-4202-9ce5-1a666ff7b0a5,excellent app,5,8.0.78,6/24/2022 17:46,0.787,0.0,0.213,Positive
2242,2242,0d1a9029-108d-4fd6-9f86-2f92afd1dca9,Absolute thieves,1,8.0.79,6/24/2022 15:16,0.0,0.767,0.233,Negative
2243,2243,24ae2d39-7575-479e-9312-c20f39dd3c85,Fast delivere,5,8.0.78,6/24/2022 10:25,0.0,0.0,1.0,Neutral
2244,2244,cb10606d-6a76-4eec-b0a3-9470fe3d9e47,Terrible expensive very aggressive ads,1,8.0.78,6/24/2022 9:31,0.0,0.625,0.375,Negative
2248,2248,536022b8-602a-4e38-8488-c05febfc431f,I never been disappointed with this hungerstation your work very amazing. Thank you so much,5,8.0.78,6/24/2022 6:33,0.461,0.0,0.539,Positive
2249,2249,8a08910f-5598-4bb4-b733-2ea148bd25c3,Useful app. Never had an issue,5,8.0.78,6/24/2022 4:32,0.367,0.0,0.633,Positive
2250,2250,6e3f866c-0c85-4619-b56e-b62c18512e10,"fast delivery but always the drivers have no change, today i had to pay 100 riyals for an order of 66 riyals becuase the driber has no change,",1,8.0.78,6/24/2022 3:25,0.0,0.231,0.769,Negative
2251,2251,1524ae07-edca-4166-a3a6-a935f1680285,Good,4,8.0.71,6/23/2022 22:51,1.0,0.0,0.0,Positive
2252,2252,5b796069-0195-4d16-bb8f-de4bea4a0e1b,"The updated version has no COD,cash on delivery service. So bad decision to remove that option. So the use of this app will decrease now. Please add the COD service",1,8.0.78,6/23/2022 18:09,0.065,0.17,0.765,Negative
2256,2256,c5d2ff84-2895-473b-aa13-488ff7d4fc96,The prices of some restaurants are double on the app !! And they say there's a discount on delivery wow,1,8.0.78,6/23/2022 16:25,0.196,0.0,0.804,Positive
2257,2257,caccb886-c83d-4d6b-8418-79b77fa3d226,It changes the prices and puts higher numbers plus the delivery fees and the delivey vehicle are not always clean and suitable,1,8.0.78,6/23/2022 16:05,0.0,0.097,0.903,Negative
2258,2258,c4a8d610-e8d3-4f52-b123-05240c7d13cc,I ordered but I didn't get ten delivery free,1,8.0.79,6/23/2022 15:05,0.426,0.0,0.574,Positive
2259,2259,b2ffde5a-e30b-4d47-9079-40a0c83a052a,"Stealers, fake offers and bad services.... go with other applications which charges the full delivery cost and not charging doubles on your order.",1,8.0.78,6/23/2022 14:49,0.0,0.385,0.615,Negative
2263,2263,fa1f5b45-3292-4eff-aca2-52be295c5839,"Good but did they remove ""Buy Anything"" Option?",3,8.0.78,6/23/2022 12:04,0.218,0.0,0.782,Positive
2264,2264,cb40d7cb-5af8-4168-805e-e5d61f1aa422,"Easy to use, so far did not experience any glitches,",5,,6/23/2022 11:34,0.244,0.0,0.756,Positive
2268,2268,85945e6b-ba61-4b80-8ac6-3224aeb3ec91,"Worst food app in the world, they jack up the food prices at least 50% and then pretend they do free delivery and the customer service is one of, if not the worst in the market, 1 star is too much for them. They have no respect for their customers.",1,8.0.78,6/23/2022 8:50,0.161,0.127,0.712,Positive
2271,2271,d32c3a6d-6e22-4cfe-9344-4409cdbad49a,Restaurants shown in advertisements are not in the app. Example : albaik. Also no response from customer support after complaining in app,1,8.0.78,6/23/2022 4:00,0.109,0.162,0.729,Negative
2272,2272,ac46506f-f322-42e5-addd-27e3ddb72d8c,Rajo,5,,6/23/2022 3:36,0.0,0.0,1.0,Neutral
2276,2276,7ac7b237-0cd8-4f28-9d91-a2a7d4b2bd31,"No respect for customers, and deceiving offers. Faulty app, especially when trying to get support, but no glitches when you order, just hi prices!",1,,6/23/2022 0:25,0.13,0.269,0.601,Negative
2280,2280,93c059c0-dd7f-4940-80cc-0fbfab7b314f,Very bad,1,8.0.78,6/22/2022 22:01,0.0,0.791,0.209,Negative
2284,2284,f992b7ee-8155-4a07-9504-ef5d68ceb369,"Some items prices are increased in the app, I ordered today from a restaurant paid the amount the later tonight I went to the same restaurant I was nearby ordered again the menu prices are shockingly cheaper. I won't be using it again until everything is set right.",1,8.0.79,6/22/2022 21:16,0.047,0.038,0.915,Positive
2289,2289,2c7c0370-df69-4cd6-afe7-cd825f9541c3,Worst app to order from,1,8.0.78,6/22/2022 20:22,0.0,0.506,0.494,Negative
2290,2290,7bea7fcc-2fb1-46d3-b97e-a1b27754a1aa,Some items prices are higher than the actual prices in the resturant.,1,8.0.79,6/22/2022 20:20,0.0,0.0,1.0,Neutral
2292,2292,e1678ab7-e694-4316-b2c7-6d3cd738e700,Price very high. Bad experience. Useless and a waste of space.,1,8.0.78,6/22/2022 20:19,0.0,0.573,0.427,Negative
2293,2293,24606aaf-2e4e-4d71-8285-4eae027a4ed9,Nice,5,8.0.78,6/22/2022 20:16,1.0,0.0,0.0,Positive
2295,2295,311c1931-2646-45e4-92ad-586367133ffb,If you don't know Arabic this app is not for you... At first order all seems fine... after my last order the experience was too bad... the delivery man was so rude.. I give my location but he can't even reache the destination... I even tried to go the opposite side of my building but I couldn't find him.. the biggest problem was he can't speak English... after lots of struggle finally I found him... But I didn't get the point why he was so rude to me... uninstalled,1,,6/22/2022 20:07,0.0,0.127,0.873,Negative
2298,2298,ac3c0143-35b8-4265-a073-c5c7307bf47f,Worst delivery app I've ever used...,1,8.0.44,6/22/2022 19:14,0.0,0.451,0.549,Negative
2300,2300,c4d1a157-69dd-4d87-93d0-8cabb8189380,I hate how they play with the prices so you think that you got a good deal for delivery cost of 7 SAR but you would be paying more because they increased the price of each meal by 17 SAR. I will never use this app again,1,8.0.78,6/22/2022 19:07,0.139,0.049,0.812,Positive
2301,2301,c475b2ae-a746-459c-a2ca-5f65d6320a29,One of the worst food apps i ever used,1,8.0.78,6/22/2022 18:59,0.0,0.369,0.631,Negative
2303,2303,8186a962-ff7f-4cae-986e-52a737bdc7d8,Good service,5,8.0.66,6/22/2022 15:12,0.744,0.0,0.256,Positive
2304,2304,3e4e848b-80f3-4b66-98ef-102672ef4a9e,I can't pay cash on delivery more than 100 like why????,2,8.0.78,6/22/2022 14:19,0.386,0.0,0.614,Positive
2305,2305,bda4cc46-f8cf-46d2-873b-23e0b754ac89,Fantastic,5,8.0.79,6/22/2022 12:26,1.0,0.0,0.0,Positive
2307,2307,423a6f63-9fd9-4b25-9edd-b4b8a9dfe5a7,Good,4,8.0.76,6/22/2022 10:33,1.0,0.0,0.0,Positive
2309,2309,f9b078cc-c44e-4957-b0d7-0a116f2a405c,"Says offer, then at check out no offer. What in the world",1,,6/21/2022 20:43,0.0,0.167,0.833,Negative
2310,2310,facfe600-1236-4b46-8779-75d2828829ce,good delivery,4,8.0.78,6/21/2022 19:07,0.744,0.0,0.256,Positive
2311,2311,a6108298-7243-41dc-ab23-85b5ae7c65cb,"I had experience, I ordered in quick market.When the rider delivered, he is very rude, no manner at all.. He put my order on top of the car talking very rude and left immediately.",1,8.0.78,6/21/2022 8:58,0.046,0.233,0.72,Negative
2313,2313,c9cde078-fb6c-4512-8eda-0f2335314e83,Too expensive,1,8.0.78,6/20/2022 22:07,0.0,0.0,1.0,Neutral
2314,2314,a6655cb6-50ac-4c25-ab96-7eb991947137,great app,5,8.0.78,6/20/2022 19:08,0.804,0.0,0.196,Positive
2316,2316,e543843c-2d3f-4f02-90e3-03ca3b1fa00e,Very bad,1,,6/20/2022 16:12,0.0,0.791,0.209,Negative
2318,2318,5a5b198c-2d87-4b36-b889-c2cdfa186e71,The best they deserve. If there is 0 star. That would be better,1,8.0.78,6/20/2022 12:16,0.415,0.0,0.585,Positive
2320,2320,727c518b-8ae2-4309-87d0-0f13e86cf8d3,"The delivery prices are so high just like 2 minutes from my place they take too much ,,,you have to check on delivery",3,8.0.78,6/19/2022 21:00,0.116,0.0,0.884,Positive
2322,2322,a2042f68-6bc3-44ba-9a92-1af00543af89,Good,5,8.0.77,6/19/2022 20:02,1.0,0.0,0.0,Positive
2324,2324,21dc72d7-ddce-49ef-90ff-2f8930dc2c09,i like this app,5,8.0.78,6/19/2022 18:10,0.556,0.0,0.444,Positive
2325,2325,fa1d4385-904f-4481-8ab1-33bf54c71882,"Worst support and lying in marketing campaigns!!! this is madness.. edit: as per the reply, I contacted the email but still no luck.",1,8.0.78,6/19/2022 14:49,0.187,0.269,0.544,Negative
2326,2326,6d2bf229-77e9-4764-862b-2fd25cb8ea7d,Bad drivers,1,8.0.78,6/18/2022 16:45,0.0,0.778,0.222,Negative
2328,2328,e1c5f7dd-217b-4724-b51b-2c30b0d7c4a0,"b f u,a",5,8.0.78,6/18/2022 11:36,0.0,0.0,1.0,Neutral
2329,2329,b01eebdb-c616-4047-99fa-31028501e8c3,% ill ''2,2,8.0.73,6/18/2022 11:21,0.0,0.737,0.263,Negative
2330,2330,d694e89e-3693-4037-9ecb-2ede381051dc,"Been using it for over a year, it's good! Only downer part is sometimes it bugs and show nothing near you :c But mostly it's working just fine.",4,8.0.78,6/18/2022 11:15,0.206,0.0,0.794,Positive
2333,2333,e74de22d-c75c-45ae-986d-463819544382,they are not giving any rewards or discount points for all purchase . there should be some loyality points and reward system,3,8.0.77,6/17/2022 15:26,0.141,0.175,0.685,Negative
2334,2334,ef366266-f1be-4335-a159-c9b1243b9af1,I can't open the app. It keeps saying connection failed. Help?,1,8.0.78,6/17/2022 14:31,0.193,0.236,0.571,Negative
2335,2335,d6ff8993-bd54-40f4-ba8a-63d3dac0a4c9,"sometimes you get that one order that goes very wrong and makes you regret using the app, then you need real customer support but then it's only crickets and you are left to suffer. But in general its a good place to order.",3,8.0.77,6/17/2022 14:05,0.111,0.172,0.718,Negative
2336,2336,ceb6172a-945c-491f-9e4d-4e2e5260c1d6,Worst app it is prison and like aslave guys uffffff,1,,6/17/2022 10:21,0.148,0.438,0.414,Negative
2338,2338,c99b0133-679d-4432-99cc-4e05496f0a61,Going om.y I nii.. NNJ .jy f cvs iiu go ghhb my bc noon. J. Ko,2,8.0.77,6/16/2022 22:45,0.0,0.0,1.0,Neutral
2339,2339,54356f1f-4f8d-4842-9ce6-4d457eccca41,four times I oreldered spicy flavor but u always give us the wrong flavor which is regular..,1,8.0.68,6/16/2022 21:16,0.0,0.229,0.771,Negative
2340,2340,df42db2d-d2ac-4681-86d7-8a7ce8a06ea6,good,5,8.0.78,6/16/2022 18:03,1.0,0.0,0.0,Positive
2342,2342,f8448b69-eb99-42e1-a8ec-566fb07a24b2,"This app is a scam They will steal your money and ask you to contact customer support so they could tell you ""we stole your money"" I've contacted customer support and they literally said we will not give you anything back Overall app made for scams 0/10",1,8.0.73,6/16/2022 5:15,0.095,0.187,0.718,Negative
2345,2345,cf363ab6-108e-4371-9af7-4048c56b719a,Awful app and extremely slow delivery,1,,6/15/2022 3:36,0.0,0.375,0.625,Negative
2346,2346,da942db1-c1ff-476c-80a3-615f34ced594,Awesome,5,8.0.59,6/15/2022 1:14,1.0,0.0,0.0,Positive
2347,2347,e374c172-16ec-4328-aee5-794dcba7c190,Great service but fake prices l. Items are over priced by 2 or 3 riyals for each item. And then they told you the delivery is only 7. Becaurful you pay more than what you think. You should mention that to the customer then he decides.,2,,6/14/2022 22:55,0.052,0.117,0.832,Negative
2348,2348,70bd49a2-5e86-457b-baba-609b3ee9c04b,"They have kept referral code, but wont give the credit. The customer support is worst. He is keep on telling the same, and not read to hear what I have to say, and ended the chat by himself, without even listening.",1,8.0.77,6/14/2022 22:04,0.072,0.172,0.755,Negative
2349,2349,c3504e53-0fae-436c-8ae2-572d7135e973,asking for location always,4,8.0.77,6/13/2022 21:26,0.0,0.0,1.0,Neutral
2350,2350,94c05dbc-7681-422f-89e8-da2a2396c58c,i wish theres always a free delivery because the food was soooo expensive,4,8.0.77,6/13/2022 16:06,0.4,0.0,0.6,Positive
2351,2351,9605c14e-6710-4b40-88ed-d09c03188c1e,"Worst application I've ever had! Many times they give the wrong location, And when I send the exact location to the driver through whatsapp they asking extra payment so they will deliver to the exact location even we pay already through card!! When I need to refund there's no response from this app.!",1,8.0.77,6/12/2022 23:06,0.0,0.203,0.797,Negative
2353,2353,c8999b34-129f-445a-93db-69f6a0989059,Connection always fails,1,8.0.77,6/12/2022 16:49,0.0,0.583,0.417,Negative
2354,2354,07ac05b6-aa83-4786-8a2a-9952fa865908,Good,5,,6/12/2022 14:15,1.0,0.0,0.0,Positive
2361,2361,cf869c73-a488-412f-86c8-2aa9200f0ae0,Very bad service. Costumer care very slow in resolving problem or issue .,1,8.0.77,6/11/2022 14:35,0.295,0.316,0.389,Negative
2365,2365,965b3fd0-ef1a-44ae-b05c-6be9e5db3f35,Vaste app ..i order 2 times but it's cancelled,1,8.0.77,6/10/2022 22:15,0.0,0.263,0.737,Negative
2367,2367,576502f8-a2f8-4fe2-9cc2-4e738de19196,The support is very bad,1,8.0.77,6/10/2022 15:39,0.284,0.4,0.316,Negative
2370,2370,ae781630-c4cf-4bb6-adc2-8da7a6fdb9f7,It will not give you first order amount and refral amount,1,8.0.77,6/10/2022 14:41,0.0,0.0,1.0,Neutral
2371,2371,431b66eb-90ee-4ab4-92df-25c4f03bc2f9,Wrong promises about cash backs and referrals,1,8.0.77,6/10/2022 14:35,0.239,0.394,0.367,Negative
2372,2372,4dea761a-4209-4950-b606-241060db0c1f,Losers My order took 2 hours No number to cantact or complain,1,8.0.65,6/10/2022 14:34,0.079,0.494,0.427,Negative
2373,2373,4ad66831-b27f-4dff-a52d-d31838ea07b6,"Updating my review the to 1 star from 5 was great at first but now it's worst not so much selection of restaurants and price a bit higher,no promotions or free delivery not satisfied anymore,I think I need to uninstall the App!",1,8.0.77,6/10/2022 12:22,0.14,0.179,0.681,Negative
2376,2376,74f88f59-5d97-43f7-867b-01211b0d3e9d,I didn't receive the order and the app wrote it delivered,1,,6/10/2022 10:49,0.0,0.0,1.0,Neutral
2377,2377,e77e27f8-8e8f-484b-a727-4d700a4eb16f,Very bad... Customer service no respons from them... The drivers very bad!!!!,1,8.0.77,6/10/2022 1:59,0.0,0.234,0.766,Negative
2378,2378,a5dad11b-b878-490a-ad0c-be13c5effdc7,"The option is very few, if you put your address like in jumaa street only 7 restaurant is in the selection, you cannot order to the resto you want because its not coming out to the selection. What's happening now!",3,,6/10/2022 0:22,0.1,0.0,0.9,Positive
2379,2379,1ebf3326-c2df-4d09-b53c-9f671bbc0599,Good,4,8.0.76,6/9/2022 20:40,1.0,0.0,0.0,Positive
2380,2380,9afa12ec-df10-469c-b096-88d588519501,The delivery price is high more than some dishes itself. Not affordable at all,1,8.0.77,6/9/2022 19:33,0.0,0.0,1.0,Neutral
